基金代码,基金简称,2022-01-14-单位净值,2022-01-14-累计净值,2022-01-13-单位净值,2022-01-13-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
184801,鹏华前海万科REITS,,,108.5940,1.4110,,,暂停申购,暂停赎回,0.80%
070002,嘉实增长混合,,,19.5440,20.2150,,,暂停申购,开放赎回,0.15%
000011,华夏大盘精选混合A,,,19.1410,26.1480,,,限大额,开放赎回,0.15%
012628,华夏大盘精选混合C,,,19.0880,19.2910,,,限大额,开放赎回,0.00%
260104,景顺长城内需增长混合,,,11.4560,13.3320,,,限大额,开放赎回,0.15%
910004,东方红启恒三年持有混合A,,,10.9918,11.5448,,,暂停申购,暂停赎回,
011724,东方红启恒三年持有混合B,,,10.8887,10.8887,,,暂停申购,暂停赎回,1.20%
240008,华宝收益增长混合,,,10.0154,10.0154,,,开放申购,开放赎回,0.15%
040005,华安宏利混合,,,9.3095,9.9295,,,开放申购,开放赎回,0.15%
070006,嘉实服务增值行业混合,,,8.1580,8.6980,,,暂停申购,开放赎回,0.15%
166301,华商新趋势优选灵活配置混合,,,8.0190,8.0190,,,开放申购,开放赎回,0.15%
162204,泰达宏利行业混合,,,7.9149,9.7199,,,开放申购,开放赎回,0.15%
660015,农银行业轮动混合,,,7.5073,7.6073,,,开放申购,开放赎回,0.15%
288002,华夏收入混合,,,7.4860,8.8860,,,开放申购,开放赎回,0.15%
000083,汇添富消费行业混合,,,7.3840,7.3840,,,开放申购,开放赎回,0.15%
040035,华安逆向策略混合A,,,7.2280,7.6080,,,开放申购,开放赎回,0.15%
013638,华安逆向策略混合C,,,7.22,7.22,,,开放申购,开放赎回,0.00%
519091,新华泛资源优势混合,,,7.0123,7.0123,,,开放申购,开放赎回,0.15%
110011,易方达优质精选混合(QDII),,,6.9970,8.7870,,,暂停申购,开放赎回,0.15%
377240,上投摩根新兴动力混合A,,,6.9545,6.9545,,,开放申购,开放赎回,0.15%
014642,上投摩根新兴动力混合C,,,6.9537,6.9537,,,开放申购,开放赎回,0.00%
519674,银河创新成长混合A,,,6.8753,6.8753,,,开放申购,开放赎回,0.15%
519679,银河主题混合,,,6.8740,7.4420,,,开放申购,开放赎回,0.60%
014143,银河创新成长混合C,,,6.8707,6.8707,,,开放申购,开放赎回,0.00%
270028,广发制造业精选混合A,,,6.7030,6.7030,,,开放申购,开放赎回,0.15%
010023,广发制造业精选混合C,,,6.67,6.67,,,开放申购,开放赎回,0.00%
020023,国泰事件驱动策略混合,,,6.3970,6.3970,,,开放申购,开放赎回,0.15%
090018,大成新锐产业混合,,,6.3960,6.8960,,,限大额,开放赎回,0.15%
519692,交银成长混合A,,,6.3285,7.3345,,,开放申购,开放赎回,0.15%
519697,交银优势行业混合,,,6.3030,6.7090,,,限大额,开放赎回,0.15%
240009,华宝先进成长混合,,,6.2571,6.5251,,,开放申购,开放赎回,0.15%
590008,中邮战略新兴产业混合,,,6.2350,6.2350,,,开放申购,开放赎回,0.15%
000308,建信创新中国混合,,,6.1840,6.1840,,,开放申购,开放赎回,0.15%
000547,建信健康民生混合,,,6.1770,6.1770,,,开放申购,开放赎回,0.15%
002031,华夏策略混合,,,6.0550,6.6550,,,开放申购,开放赎回,0.15%
000592,建信改革红利股票,,,5.9970,5.9970,,,开放申购,开放赎回,0.15%
000584,新华鑫益灵活配置混合C,,,5.9455,5.9455,,,开放申购,开放赎回,0.00%
700003,平安策略先锋混合,,,5.9430,6.0430,,,开放申购,开放赎回,0.15%
180012,银华富裕主题混合,,,5.8532,6.8062,,,开放申购,开放赎回,0.15%
001887,中欧价值智选混合E,,,5.8133,6.1633,,,限大额,开放赎回,0.15%
370024,上投摩根核心优选混合,,,5.7680,5.9830,,,开放申购,开放赎回,0.15%
910005,东方红启兴三年持有混合A,,,5.7144,6.7064,,,暂停申购,暂停赎回,
000410,益民服务领先混合,,,5.6950,5.6950,,,开放申购,开放赎回,0.15%
910009,东方红启程三年持有混合A,,,5.6513,6.2053,,,暂停申购,开放赎回,0.00%
110013,易方达科翔混合,,,5.64,12.5430,,,开放申购,开放赎回,0.15%
377010,上投摩根阿尔法混合,,,5.5950,7.5150,,,开放申购,开放赎回,0.15%
006011,中信保诚稳鸿A,,,5.5848,7.3660,,,限大额,开放赎回,0.08%
165516,信诚周期轮动混合(LOF)A,,,5.5380,6.6770,,,开放申购,开放赎回,0.15%
014335,信诚周期轮动混合(LOF)C,,,5.5348,5.5348,,,限大额,开放赎回,0.00%
110001,易方达平稳增长混合,,,5.5130,6.8580,,,开放申购,开放赎回,0.15%
470009,汇添富民营活力混合A,,,5.4450,5.6950,,,开放申购,开放赎回,0.15%
000409,鹏华环保产业股票,,,5.40,5.40,,,开放申购,开放赎回,0.15%
040025,华安科技动力混合,,,5.3820,6.1690,,,开放申购,开放赎回,0.15%
200015,长城优化升级混合A,,,5.3590,5.4740,,,开放申购,开放赎回,0.15%
340007,兴全社会责任混合,,,5.35,5.54,,,开放申购,开放赎回,0.15%
000404,易方达新兴成长灵活配置,,,5.3480,5.3480,,,开放申购,开放赎回,0.15%
